1.1	7.246e8	2.2
0.637	8.25e9	0.825
1.889	2.151e11	2.447
3.702	1.619e12	4.794
5.43	5.109e12	7.032
7.105	1.144e13	9.201
8.758	2.143e13	11.341
10.175	3.361e13	13.177
13.432	7.731e13	17.395
0.869	2.445e9	1.513
1.495	1.249e10	2.323
2.401	3.425e10	3.497
3.265	6.084e10	4.616
4.103	9.106e10	5.701
4.929	1.246e11	6.771
5.638	1.561e11	7.689
7.266	2.367e11	9.797
1.263	4.213e10	1.636
2.17	1.156e11	2.81
3.034	2.053e11	3.929
3.871	3.072e11	5.013
4.697	4.205e11	6.083
5.406	5.266e11	7.001
7.035	7.986e11	9.11
2.796	5.901e11	3.621
3.66	1.048e12	4.74
4.497	1.569e12	5.824
5.324	2.147e12	6.894
6.032	2.689e12	7.812
7.661	4.078e12	9.921
4.566	2.876e12	5.913
5.404	4.304e12	6.998
6.23	5.889e12	8.068
6.939	7.376e12	8.986
8.567	1.119e13	11.095
6.268	7.646e12	8.117
7.094	1.046e13	9.187
7.803	1.31e13	10.105
9.431	1.987e13	12.214
7.931	1.566e13	10.271
8.64	1.961e13	11.189
10.269	2.974e13	13.298
9.467	4.07e13	12.259
11.095	4.07e13	14.368
11.804	5.097e13	15.286
