1.1	1.014e10	2.2
0.637	2.063e9	0.81
1.889	5.379e10	2.403
3.702	4.047e11	4.709
5.43	1.277e12	6.908
7.105	2.861e12	9.038
8.758	5.357e12	11.14
10.175	8.402e12	12.943
13.432	1.933e13	17.086
0.869	4.573e9	1.505
1.495	2.335e10	2.302
2.401	6.406e10	3.455
3.265	1.138e11	4.554
4.103	1.703e11	5.619
4.929	2.331e11	6.67
5.638	2.919e11	7.572
7.266	4.427e11	9.643
1.263	1.053e10	1.607
2.17	2.889e10	2.76
3.034	5.132e10	3.859
3.871	7.681e10	4.924
4.697	1.051e11	5.975
5.406	1.316e11	6.877
7.035	1.997e11	8.948
2.796	1.475e11	3.556
3.66	2.621e11	4.655
4.497	3.923e11	5.72
5.324	5.368e11	6.772
6.032	6.723e11	7.673
7.661	1.02e12	9.745
4.566	7.189e11	5.808
5.404	1.076e12	6.873
6.23	1.472e12	7.925
6.939	1.844e12	8.826
8.567	2.797e12	10.898
6.268	1.911e12	7.973
7.094	2.616e12	9.024
7.803	3.276e12	9.925
9.431	4.968e12	11.997
7.931	3.915e12	10.089
8.64	4.903e12	10.99
10.269	7.436e12	13.062
9.467	1.018e13	12.042
11.095	1.018e13	14.113
11.804	1.274e13	15.015
